["port1","TOP"]
["port2","TOP"]
["port3","LEFT"]
["port4","RIGHT"]
("port1","mode 1",1,"port1",1,"transmission")
(23, 3)
1.8737028624999997e+14 4.1653036078887970e-03 3.0948168160244620e+00
1.8799485387083331e+14 3.0527624510703817e-03 2.8946146316042718e+00
1.8861942149166662e+14 4.1649663078291406e-03 3.0725692589657934e+00
1.8924398911249997e+14 4.2929219220710340e-03 3.7519054189395007e+00
1.8986855673333331e+14 3.6263204933378078e-03 4.7477309473988605e+00
1.9049312435416662e+14 4.2605687611323058e-03 5.8932634006284852e+00
1.9111769197499997e+14 7.0315586881848999e-03 6.7496254325363338e+00
1.9174225959583331e+14 1.1197796823295778e-02 7.4604243566649622e+00
1.9236682721666666e+14 1.5205642330485712e-02 8.1849010139641969e+00
1.9299139483749997e+14 1.6872001829861188e-02 8.9409565273429212e+00
1.9359660086208747e+14 1.4997678135425949e-02 9.6915257892698268e+00
1.9361596245833331e+14 1.4878976505631801e-02 9.7155767440848049e+00
1.9363532405457916e+14 1.4756909258111888e-02 9.7396149914843182e+00
1.9424053007916666e+14 9.5572771953728528e-03 1.0470696633942506e+01
1.9486509769999997e+14 3.0528843021203683e-03 1.0956058426410939e+01
1.9548966532083331e+14 3.2924988722254599e-03 9.5445034826317823e+00
1.9611423294166666e+14 5.9043413139781755e-03 1.0098635392329658e+01
1.9673880056250000e+14 5.4934056021045752e-03 1.0713355766355997e+01
1.9736336818333331e+14 3.6061742073873280e-03 1.0949907819664359e+01
1.9798793580416666e+14 3.7719038894164897e-03 1.0761598157229232e+01
1.9861250342500000e+14 4.5971524328631396e-03 1.1015628682787014e+01
1.9923707104583331e+14 3.9288364995212271e-03 1.1159042386104485e+01
1.9986163866666666e+14 5.1890950948705128e-03 1.0882033495146635e+01
("port1","mode 1",1,"port2",1,"transmission")
(23, 3)
1.8737028624999997e+14 7.2884129946055909e-01 1.2858312551336520e-01
1.8799485387083331e+14 6.9818063383184692e-01 -2.7734751607849963e+00
1.8861942149166662e+14 6.6747523861754310e-01 -5.6736716793121751e+00
1.8924398911249997e+14 6.3691178122975411e-01 -8.5717499734299274e+00
1.8986855673333331e+14 6.0674715601272478e-01 -1.1467342118873596e+01
1.9049312435416662e+14 5.7723956702096024e-01 -1.4360152410496434e+01
1.9111769197499997e+14 5.4862468065580883e-01 -1.7249828527125079e+01
1.9174225959583331e+14 5.2116743068964400e-01 -2.0136025537543485e+01
1.9236682721666666e+14 4.9510226173643884e-01 -2.3018446470221814e+01
1.9299139483749997e+14 4.7067021376322643e-01 -2.5896732561976545e+01
1.9359660086208747e+14 4.4883726080028480e-01 -2.8876339581147107e+01
1.9361596245833331e+14 4.4817205353203721e-01 -2.8770581950153392e+01
1.9363532405457916e+14 4.4750900812209693e-01 -2.8664819994168205e+01
1.9424053007916666e+14 4.2792348573798999e-01 -3.1639966858549723e+01
1.9486509769999997e+14 4.1017019862294896e-01 -3.4505234795057397e+01
1.9548966532083331e+14 3.9504378615602559e-01 -3.7366938127940628e+01
1.9611423294166666e+14 3.8264165466627537e-01 -4.0225706867282476e+01
1.9673880056250000e+14 3.7307139450952953e-01 -4.3082380278395817e+01
1.9736336818333331e+14 3.6642520889225560e-01 -4.5938088278409367e+01
1.9798793580416666e+14 3.6273564272867631e-01 -4.8794276972382953e+01
1.9861250342500000e+14 3.6191385239734952e-01 -5.1652569868616879e+01
1.9923707104583331e+14 3.6375878111901000e-01 -5.4514444130284147e+01
1.9986163866666666e+14 3.6800988554207187e-01 -5.7381046971341860e+01
("port1","mode 1",1,"port3",1,"transmission")
(23, 3)
1.8737028624999997e+14 3.8895221484383426e-04 1.6547513891828958e+00
1.8799485387083331e+14 3.4312672271643419e-04 2.8956270367600512e+00
1.8861942149166662e+14 2.7738628018162976e-04 4.2426676361581075e+00
1.8924398911249997e+14 2.1296364582885466e-04 5.7353766868833169e+00
1.8986855673333331e+14 2.1790661849123950e-04 7.3037466119140113e+00
1.9049312435416662e+14 2.5978433239306467e-04 8.8983649252996369e+00
1.9111769197499997e+14 2.7441807989647205e-04 1.0224330629700109e+01
1.9174225959583331e+14 3.2665406385738472e-04 1.1438673738359675e+01
1.9236682721666666e+14 3.2196902878100760e-04 1.2781232316515803e+01
1.9299139483749997e+14 2.7971166747420620e-04 1.3933616756721545e+01
1.9359660086208747e+14 2.7308260498622573e-04 1.5222638667456234e+01
1.9361596245833331e+14 2.7187870088619747e-04 1.5269351483119110e+01
1.9363532405457916e+14 2.7058116755283108e-04 1.5316258297581120e+01
1.9424053007916666e+14 2.0051173311551513e-04 1.6777029480589640e+01
1.9486509769999997e+14 1.7986434654405721e-04 1.8155063208296806e+01
1.9548966532083331e+14 2.1458109316742797e-04 1.9807856812615409e+01
1.9611423294166666e+14 2.1165613164512469e-04 2.1276771833224039e+01
1.9673880056250000e+14 2.4963133178528349e-04 2.2485136866084051e+01
1.9736336818333331e+14 2.6182724648056725e-04 2.3873635155278809e+01
1.9798793580416666e+14 2.2916641030662770e-04 2.5052740707942323e+01
1.9861250342500000e+14 2.3262860010368563e-04 2.6346457218197486e+01
1.9923707104583331e+14 1.7636290893257011e-04 2.7757320122034042e+01
1.9986163866666666e+14 1.5484170667135115e-04 2.8978741104864071e+01
("port1","mode 1",1,"port4",1,"transmission")
(23, 3)
1.8737028624999997e+14 6.7733793822133026e-01 -2.1723992217593744e+00
1.8799485387083331e+14 7.0939057140882833e-01 8.8378388524026219e-01
1.8861942149166662e+14 7.3886071701005973e-01 3.9394650675421956e+00
1.8924398911249997e+14 7.6578930796071498e-01 6.9945710076650460e+00
1.8986855673333331e+14 7.9024092041199467e-01 1.0049077670614162e+01
1.9049312435416662e+14 8.1231497234397609e-01 1.3102970135704313e+01
