["port1","TOP"]
["port2","TOP"]
["port3","LEFT"]
["port4","RIGHT"]
("port1","mode 1",1,"port1",1,"transmission")
(23, 3)
1.8737028624999997e+14 4.2569766030282567e-03 3.1133596012063731e+00
1.8799485387083331e+14 2.9648256953847896e-03 2.9629043327227929e+00
1.8861942149166662e+14 3.8807275011949931e-03 3.0864421777302211e+00
1.8924398911249997e+14 3.9603106945695276e-03 3.7385303803576542e+00
1.8986855673333331e+14 3.2815266721058305e-03 4.7191996972428454e+00
1.9049312435416662e+14 3.9200030812006756e-03 5.8807393243450292e+00
1.9111769197499997e+14 6.7284901879170102e-03 6.7328775582757849e+00
1.9174225959583331e+14 1.1000873099248741e-02 7.4460438316326396e+00
1.9236682721666666e+14 1.5105053366302910e-02 8.1743383407466688e+00
1.9299139483749997e+14 1.6875459327640067e-02 8.9352888784052134e+00
1.9359660086208747e+14 1.5055805074016175e-02 9.6900790313541449e+00
1.9361596245833331e+14 1.4939034479002907e-02 9.7142620094168706e+00
1.9363532405457916e+14 1.4818921937356712e-02 9.7384361178011236e+00
1.9424053007916666e+14 9.6663984951024969e-03 1.0478365435687845e+01
1.9486509769999997e+14 3.1123400289212117e-03 1.1009604904840085e+01
1.9548966532083331e+14 3.1073297082832795e-03 9.5123163995979922e+00
1.9611423294166666e+14 5.7998617477092798e-03 1.0068703414252255e+01
1.9673880056250000e+14 5.4685988739150175e-03 1.0681145928296523e+01
1.9736336818333331e+14 3.7185009161370673e-03 1.0924869028581183e+01
1.9798793580416666e+14 3.8407427771178452e-03 1.0779972304151714e+01
1.9861250342500000e+14 4.5509348438263937e-03 1.1033340001108000e+01
1.9923707104583331e+14 3.8481401862598672e-03 1.1145753554135577e+01
1.9986163866666666e+14 5.2500382556439039e-03 1.0863553713212337e+01
("port1","mode 1",1,"port2",1,"transmission")
(23, 3)
1.8737028624999997e+14 8.3943258163412093e-01 -2.3013359298881388e+00
1.8799485387083331e+14 8.1222169031985902e-01 -5.0705243897419834e+00
1.8861942149166662e+14 7.8395471769235447e-01 -7.8387496594521417e+00
1.8924398911249997e+14 7.5495673642263461e-01 -1.0605787249741240e+01
1.8986855673333331e+14 7.2552210996828215e-01 -1.3371468333607350e+01
1.9049312435416662e+14 6.9590247862255394e-01 -1.6135588188851177e+01
1.9111769197499997e+14 6.6635727420988922e-01 -1.8897920971492262e+01
1.9174225959583331e+14 6.3712696927366430e-01 -2.1658222995747550e+01
1.9236682721666666e+14 6.0846641805406709e-01 -2.4416215131909606e+01
1.9299139483749997e+14 5.8065839859130763e-01 -2.7171665559663666e+01
1.9359660086208747e+14 5.5473787480322523e-01 -3.0033909659780068e+01
1.9361596245833331e+14 5.5392680273470607e-01 -2.9924423967658694e+01
1.9363532405457916e+14 5.5311689097106409e-01 -2.9814935485940797e+01
1.9424053007916666e+14 5.2841404205130837e-01 -3.2674266694027395e+01
