["port1","TOP"]
["port2","TOP"]
["port3","LEFT"]
["port4","RIGHT"]
("port1","mode 1",1,"port1",1,"transmission",3.49251e-13)
(23, 3)
1.8737028624999997e+14 6.9325722068621304e-03 -1.5726179103611602e+00
1.8799485387083331e+14 6.1890133367697494e-03 -3.5763585524930961e+00
1.8861942149166662e+14 3.6232712595988862e-03 -4.8315528924693512e+00
1.8924398911249997e+14 9.0446632722947385e-03 -5.7909212421733853e+00
1.8986855673333331e+14 4.3604705152803505e-03 -6.3957488145034169e+00
1.9049312435416662e+14 6.9051352125459780e-03 -7.1139758384616432e+00
1.9111769197499997e+14 5.1022105429446400e-03 -6.7358958130381374e+00
1.9174225959583331e+14 7.4507654786098842e-03 -7.6491110504598243e+00
1.9236682721666666e+14 1.2081042118633294e-02 -7.6937486294012194e+00
1.9299139483749997e+14 9.2438908257236399e-03 -8.3932824592319442e+00
1.9359660086208747e+14 1.1502719804397064e-02 -8.8505518025037677e+00
1.9361596245833331e+14 1.1427764277214068e-02 -8.8507597058120577e+00
1.9363532405457916e+14 1.1338499979105660e-02 -8.8505518025037677e+00
1.9424053007916666e+14 3.2844307260423791e-03 -8.7948681073778694e+00
1.9486509769999997e+14 2.6822670146157655e-03 -1.1804004961903473e+01
1.9548966532083331e+14 5.2935374307528900e-03 -1.3635962960289882e+01
1.9611423294166666e+14 1.1090957885366797e-02 -1.3819919469459114e+01
1.9673880056250000e+14 6.8498720425039178e-03 -1.4297746780482676e+01
1.9736336818333331e+14 7.4618520874417836e-03 -1.5635942904472026e+01
1.9798793580416666e+14 4.5086429665680957e-03 -1.6699809816758670e+01
1.9861250342500000e+14 1.1023482619431074e-02 -1.8119008243333433e+01
1.9923707104583331e+14 1.0297210777117212e-02 -1.8681817062669857e+01
1.9986163866666666e+14 1.0610311031737762e-02 -1.9716105261604728e+01
("port1","mode 1",1,"port2",1,"transmission",6.1140438559391284e-13)
(23, 3)
1.8737028624999997e+14 5.6501992950499214e-01 2.2738115122569855e+00
1.8799485387083331e+14 5.8226014073059273e-01 2.2868992104955859e+00
1.8861942149166662e+14 5.9888137513450224e-01 2.2982811633893605e+00
1.8924398911249997e+14 6.1487893181017350e-01 2.3080194496438229e+00
1.8986855673333331e+14 6.3028923550562277e-01 2.3162520096040611e+00
1.9049312435416662e+14 6.4514500876696568e-01 2.3231125893308451e+00
1.9111769197499997e+14 6.5943781604102680e-01 2.3286911123210903e+00
1.9174225959583331e+14 6.7314015853654108e-01 2.3329768707592335e+00
1.9236682721666666e+14 6.8629416669562937e-01 2.3359569117574353e+00
1.9299139483749997e+14 6.9895582965141168e-01 2.3376647818427294e+00
1.9359660086208747e+14 7.1078379613138254e-01 2.3382148369514804e+00
1.9361596245833331e+14 7.1115455902206193e-01 2.3382153654086748e+00
1.9363532405457916e+14 7.1152484447991315e-01 2.3382148369514804e+00
1.9424053007916666e+14 7.2285801361367996e-01 2.3376761187618191e+00
1.9486509769999997e+14 7.3403988817214627e-01 2.3360488149892076e+00
1.9548966532083331e+14 7.4474528383598448e-01 2.3332915469520552e+00
1.9611423294166666e+14 7.5501439531756898e-01 2.3294324701763234e+00
1.9673880056250000e+14 7.6488258585549662e-01 2.3245173389034886e+00
1.9736336818333331e+14 7.7434341479264046e-01 2.3185718633216639e+00
1.9798793580416666e+14 7.8338308389810229e-01 2.3115936613334247e+00
1.9861250342500000e+14 7.9202793090437984e-01 2.3035772678361530e+00
1.9923707104583331e+14 8.0029399276495417e-01 2.2945093673732382e+00
1.9986163866666666e+14 8.0820427745760637e-01 2.2844327737889034e+00
("port1","mode 1",1,"port3",1,"transmission",8.6149408318693037e-13)
(23, 3)
1.8737028624999997e+14 2.5512726603407849e-03 -5.2306616934432060e-01
1.8799485387083331e+14 2.3446983071731095e-03 -3.9252229256986798e-01
1.8861942149166662e+14 2.5549533556279190e-03 -6.0891379178189697e-01
1.8924398911249997e+14 2.1258004715693094e-03 -8.3209113654840194e-01
1.8986855673333331e+14 1.7527278654736074e-03 -7.6612687655235956e-01
1.9049312435416662e+14 2.1223735907826471e-03 -6.6005226874508260e-01
1.9111769197499997e+14 2.3968128708066415e-03 -8.6796599787921380e-01
1.9174225959583331e+14 2.1959333793318920e-03 -8.3026685298606917e-01
1.9236682721666666e+14 2.9746723852200245e-03 -7.6507855755477217e-01
1.9299139483749997e+14 3.4419428393634229e-03 -1.0366507773110840e+00
1.9359660086208747e+14 3.1306833395245781e-03 -1.1637486102271066e+00
1.9361596245833331e+14 3.1242805091765999e-03 -1.1638107328281904e+00
1.9363532405457916e+14 3.1186280681103152e-03 -1.1637486102271066e+00
1.9424053007916666e+14 3.2572681484273106e-03 -1.2048968543625258e+00
1.9486509769999997e+14 3.2411480071555185e-03 -1.4538163172861720e+00
1.9548966532083331e+14 2.5109553670371715e-03 -1.7839268173025027e+00
1.9611423294166666e+14 1.4899613524976491e-03 -2.0337389258563867e+00
1.9673880056250000e+14 9.6580904391312269e-04 -2.3484776253561681e+00
1.9736336818333331e+14 1.0236946236695525e-03 -3.5863424421668655e+00
1.9798793580416666e+14 1.5652124737611528e-03 -4.6193333918005175e+00
1.9861250342500000e+14 1.5889690799511726e-03 -5.0053528047543647e+00
1.9923707104583331e+14 1.7175106949567720e-03 -4.9338063788404689e+00
1.9986163866666666e+14 1.8468696942015993e-03 -5.0444808561098853e+00
("port1","mode 1",1,"port4",1,"transmission",5.3493742646748118e-13)
(23, 3)
1.8737028624999997e+14 8.1957323248582870e-01 8.6245829409312003e-01
1.8799485387083331e+14 8.0784952738134141e-01 8.6728174318131257e-01
1.8861942149166662e+14 7.9599080394740707e-01 8.7170565252786825e-01
1.8924398911249997e+14 7.8401555154234903e-01 8.7569055741065582e-01
1.8986855673333331e+14 7.7198572686960043e-01 8.7916771179524644e-01
1.9049312435416662e+14 7.5988728130789063e-01 8.8217449032139728e-01
1.9111769197499997e+14 7.4779818865950232e-01 8.8473875678707981e-01
1.9174225959583331e+14 7.3568190055149296e-01 8.8675092457278715e-01
1.9236682721666666e+14 7.2358494070817858e-01 8.8821844875089873e-01
