["in","LEFT"]
["out 1","RIGHT"]
["out 2","RIGHT"]
("in","mode 1",1,"in",1,"transmission",5.91915e-14)
(52, 3)
1.8737028625000000e+14 6.1834035131584496e-02 2.6388093535259416e+00
1.8762521180952381e+14 6.0884979197558080e-02 2.6456110842601919e+00
1.8788013736904762e+14 5.9448960196810806e-02 2.6400704704824056e+00
1.8813506292857144e+14 5.7896412025231707e-02 2.6199172160685005e+00
1.8838998848809525e+14 5.6615131870297132e-02 2.5857785959347983e+00
1.8864491404761903e+14 5.5913575410546978e-02 2.5417753743740281e+00
1.8889983960714284e+14 5.5926832862195776e-02 2.4947193503629177e+00
1.8915476516666666e+14 5.6573474450015343e-02 2.4517489345582866e+00
1.8940969072619047e+14 5.7592198980217217e-02 2.4177270888366924e+00
1.8966461628571428e+14 5.8636800208558222e-02 2.3939886989980539e+00
1.8991954184523809e+14 5.9379820416058798e-02 2.3786801054099027e+00
1.9017446740476191e+14 5.9590220715917325e-02 2.3678395246354569e+00
1.9042939296428572e+14 5.9177658091946000e-02 2.3564587792223937e+00
1.9068431852380953e+14 5.8209020445816613e-02 2.3393434757959048e+00
1.9093924408333334e+14 5.6901297050535683e-02 2.3119768823616842e+00
1.9119416964285712e+14 5.5587381126312632e-02 2.2716522020943239e+00
1.9144909520238094e+14 5.4646492742958429e-02 2.2188283562861137e+00
1.9170402076190475e+14 5.4399416092043684e-02 2.1579817331590823e+00
1.9195894632142856e+14 5.4997583591812574e-02 2.0967738625237238e+00
1.9221387188095238e+14 5.6362684719950006e-02 2.0432928240452424e+00
1.9246879744047619e+14 5.8215231469897863e-02 2.0030282014073859e+00
1.9272372300000000e+14 6.0170633346610380e-02 1.9775385723278791e+00
1.9297864855952381e+14 6.1846473269599994e-02 1.9650010137497376e+00
1.9323357411904762e+14 6.2942252110579175e-02 1.9615114267322291e+00
1.9348849967857144e+14 6.3284700235666208e-02 1.9622106236082808e+00
1.9359660086208747e+14 6.3190610087771382e-02 1.9625264595492762e+00
1.9363532405457916e+14 6.3123335334208400e-02 1.9625264595492762e+00
1.9374342523809522e+14 6.2846740573830412e-02 1.9620128521795153e+00
1.9399835079761903e+14 6.1747593909462425e-02 1.9561209906609318e+00
1.9425327635714284e+14 6.0235413326201005e-02 1.9406081199005811e+00
1.9450820191666666e+14 5.8647970019705217e-02 1.9132584961126320e+00
1.9476312747619047e+14 5.7345445536653536e-02 1.8745732576739362e+00
1.9501805303571428e+14 5.6618737844278740e-02 1.8283538183807670e+00
1.9527297859523809e+14 5.6599256566433755e-02 1.7810041453539474e+00
1.9552790415476191e+14 5.7214406077104242e-02 1.7393799481388243e+00
1.9578282971428572e+14 5.8216770095198093e-02 1.7083490096484883e+00
1.9603775527380953e+14 5.9269522344805738e-02 1.6895342917449925e+00
1.9629268083333331e+14 6.0042761226288086e-02 1.6815458198640134e+00
1.9654760639285712e+14 6.0286882387235653e-02 1.6809589848860129e+00
1.9680253195238094e+14 5.9874236352926588e-02 1.6832982447230425e+00
1.9705745751190475e+14 5.8814186962486255e-02 1.6837789581928555e+00
1.9731238307142856e+14 5.7247556211591118e-02 1.6779206661749757e+00
1.9756730863095238e+14 5.5421820165716645e-02 1.6622520221907104e+00
1.9782223419047619e+14 5.3644252034744919e-02 1.6352220210121087e+00
1.9807715975000000e+14 5.2211584853998523e-02 1.5980986366338714e+00
1.9833208530952381e+14 5.1326793387989227e-02 1.5551886157539609e+00
1.9858701086904762e+14 5.1032980246240457e-02 1.5126978178701509e+00
1.9884193642857141e+14 5.1200218882845074e-02 1.4764707144426228e+00
1.9909686198809522e+14 5.1575269861053742e-02 1.4499217604275279e+00
1.9935178754761903e+14 5.1866495246670613e-02 1.4332737026776070e+00
