["port 1","LEFT"]
["port 4","RIGHT"]
["port 2","RIGHT"]
["port 3","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(10, 3)
1.8737028625000000e+14 7.8205212194726756e-05 1.7825304910905044e+00
1.8868056797202800e+14 4.1218272311039553e-05 2.9474549969530006e+00
1.9000930436619719e+14 4.2444286274570925e-05 4.8153681322539175e+00
1.9135688808510641e+14 1.1848449108372003e-05 6.6916311933265442e+00
1.9272372300000000e+14 3.3439505428297532e-05 5.7453913478457919e+00
1.9411022460431656e+14 1.4907069220551443e-04 3.3151275188510416e+00
1.9551682043478259e+14 4.1567061360665677e-05 6.9532890605942610e-01
1.9694395051094891e+14 2.6904330905659743e-04 -3.4087011453207798e-02
1.9839206779411762e+14 8.7978106900515906e-04 5.0930604550385150e-01
1.9986163866666666e+14 1.9188746837232642e-04 -2.6791736294543740e-02
("port 1","mode 1",1,"port 3",1,"transmission")
(10, 3)
1.8737028625000000e+14 1.2015645445168388e-04 -2.0535910371079340e+00
1.8868056797202800e+14 2.5403930656201379e-05 3.9478859732185040e-01
1.9000930436619719e+14 3.6533937706640882e-05 1.5837453660737475e+00
1.9135688808510641e+14 9.6615087759172053e-06 -7.4990269911670981e-01
1.9272372300000000e+14 3.5150319683267231e-05 -3.7473531620455289e+00
1.9411022460431656e+14 1.7330427667240826e-04 -6.1219890972223165e+00
1.9551682043478259e+14 5.3754771573428522e-05 -7.1861989465007836e+00
1.9694395051094891e+14 2.6703249113448199e-04 -9.3755982021387112e+00
1.9839206779411762e+14 8.2250539263915888e-04 -9.0775510138817932e+00
1.9986163866666666e+14 2.7109107851587885e-04 -1.0329643376730896e+01
("port 1","mode 1",1,"port 2",1,"transmission")
(10, 3)
1.8737028625000000e+14 5.6874190922335155e-01 -2.0199769484098775e+00
1.8868056797202800e+14 6.6223900601110119e-01 -4.8205564164342896e+00
1.9000930436619719e+14 5.6418234881541196e-01 -7.6189040839029012e+00
1.9135688808510641e+14 6.9445582165198094e-01 -9.8252151104093262e+00
1.9272372300000000e+14 6.8966480394469010e-01 -1.2072197724685388e+01
1.9411022460431656e+14 6.7667419519266159e-01 -1.4165447722509901e+01
1.9551682043478259e+14 6.0786911815558498e-01 -1.6278795558402255e+01
1.9694395051094891e+14 5.9150767651920144e-01 -1.8117577843349011e+01
1.9839206779411762e+14 6.0232739870517782e-01 -1.9908150920095622e+01
1.9986163866666666e+14 5.5106306262606353e-01 -2.1692780444416652e+01
("port 1","mode 1",1,"port 4",1,"transmission")
(10, 3)
1.8737028625000000e+14 6.0190550212989880e-01 -7.7610679867910004e-01
1.8868056797202800e+14 6.4938267029128294e-01 -3.3301428609721100e+00
1.9000930436619719e+14 6.0559762847936072e-01 -5.6597629413589852e+00
1.9135688808510641e+14 6.8725025535325857e-01 -8.2546487338490131e+00
1.9272372300000000e+14 6.8474338893288200e-01 -1.0501287410946610e+01
1.9411022460431656e+14 6.7772944732914608e-01 -1.2593509654016632e+01
1.9551682043478259e+14 5.8589770268958163e-01 -1.4511895046383383e+01
1.9694395051094891e+14 6.7655102741719308e-01 -1.6541682631411334e+01
1.9839206779411762e+14 6.2379275132835676e-01 -1.8300105931148959e+01
1.9986163866666666e+14 6.4617932466423689e-01 -2.0026963821207975e+01
("port 3","mode 1",1,"port 1",1,"transmission")
(10, 3)
