["port1","LEFT"]
["port2","RIGHT"]
["port3","LEFT"]
["port4","RIGHT"]
("port1","mode 1",1,"port1",1,"transmission",2.03579e-12)
(23, 3)
1.8737028624999997e+14 1.0647097754321147e-02 2.8802951767430347e+00
1.8799485387083331e+14 7.1727153733826413e-03 2.8097870640333111e+00
1.8861942149166662e+14 8.4767437037992568e-03 2.6847789050469633e+00
1.8924398911249997e+14 9.1870776745312469e-03 2.1350499998864270e+00
1.8986855673333331e+14 7.0914581599919460e-03 1.5102269042928975e+00
1.9049312435416662e+14 3.7227423194684888e-03 1.1466033656486385e+00
1.9111769197499997e+14 2.7192324952772635e-03 1.5376380565918681e+00
1.9174225959583331e+14 3.6259592738231280e-03 1.4315049876947596e+00
1.9236682721666666e+14 3.7222291364715264e-03 1.1607797241901674e+00
1.9299139483749997e+14 4.0264896719481632e-03 1.0052844850193654e+00
1.9359660086208747e+14 5.0209142355914773e-03 7.1494533934602778e-01
1.9361596245833331e+14 4.9388116481769006e-03 7.1202979049338888e-01
1.9363532405457916e+14 4.8659797023760075e-03 7.1494533934602811e-01
1.9424053007916666e+14 5.6904746384574909e-03 3.4423093049378112e-01
1.9486509769999997e+14 6.8254919214302285e-03 2.6117010490387393e-02
1.9548966532083331e+14 9.2172733086075959e-03 -4.1616246310551464e-01
1.9611423294166666e+14 1.1929833327189427e-02 -1.0636472020968795e+00
1.9673880056250000e+14 1.3485561521942956e-02 -1.8062605647098089e+00
1.9736336818333331e+14 1.3165133319450515e-02 -2.5258850434272935e+00
1.9798793580416666e+14 1.1953835491246553e-02 -3.1245820515451403e+00
1.9861250342500000e+14 1.2602696153337320e-02 -3.6216568712250252e+00
1.9923707104583331e+14 1.6379905085086986e-02 -4.2315326793168317e+00
1.9986163866666666e+14 2.1507422530488814e-02 -4.9733588118865919e+00
("port1","mode 1",1,"port2",1,"transmission",0.0000000000000000e+00)
(23, 3)
1.8737028624999997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8799485387083331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8861942149166662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8924398911249997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8986855673333331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9049312435416662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9111769197499997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9174225959583331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9236682721666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9299139483749997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9359660086208747e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9361596245833331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9363532405457916e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9424053007916666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9486509769999997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9548966532083331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9611423294166666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9673880056250000e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9736336818333331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9798793580416666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9861250342500000e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9923707104583331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9986163866666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
("port1","mode 1",1,"port3",1,"transmission",0.0000000000000000e+00)
(23, 3)
1.8737028624999997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8799485387083331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8861942149166662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8924398911249997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.8986855673333331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9049312435416662e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9111769197499997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9174225959583331e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9236682721666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9299139483749997e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9359660086208747e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9361596245833331e+14 0.0000000000000000e+00 0.0000000000000000e+00
