["in","LEFT"]
["out 1","RIGHT"]
["out 2","RIGHT"]
("in","mode 1",1,"in",1,"transmission",-3.25806e-14)
(52, 3)
1.8737028625000000e+14 1.2798097905446558e-02 2.7223492754513794e+00
1.8762521180952381e+14 1.2764788582165783e-02 2.7902775025331836e+00
1.8788013736904762e+14 1.2901304814424823e-02 2.8808391828634137e+00
1.8813506292857144e+14 1.3104013012490907e-02 2.9956599682755436e+00
1.8838998848809525e+14 1.3290136873541475e-02 3.1331897836319689e+00
1.8864491404761903e+14 1.3403263285011669e-02 3.2904625229225348e+00
1.8889983960714284e+14 1.3411261862819249e-02 3.4642099024776756e+00
1.8915476516666666e+14 1.3301288868924933e-02 3.6513484520725341e+00
1.8940969072619047e+14 1.3074355875739005e-02 3.8490932840449630e+00
1.8966461628571428e+14 1.2740417284942050e-02 4.0549011909811785e+00
1.8991954184523809e+14 1.2314255717454039e-02 4.2663556118208126e+00
1.9017446740476191e+14 1.1812236675662885e-02 4.4810460743366578e+00
1.9042939296428572e+14 1.1249972778738184e-02 4.6964626782281238e+00
1.9068431852380953e+14 1.0640940857679693e-02 4.9099083766780263e+00
1.9093924408333334e+14 9.9960787310379752e-03 5.1184191378662280e+00
1.9119416964285712e+14 9.3243474998665633e-03 5.3186715066169672e+00
1.9144909520238094e+14 8.6342034643250402e-03 5.5068509123258114e+00
1.9170402076190475e+14 7.9359158369785594e-03 5.6784608935986087e+00
1.9195894632142856e+14 7.2447057118878401e-03 5.8280957611579280e+00
1.9221387188095238e+14 6.5846915907864347e-03 5.9493340177555192e+00
1.9246879744047619e+14 5.9932799443754587e-03 6.0352485985559916e+00
1.9272372300000000e+14 5.5241126460732950e-03 6.0806094473154735e+00
1.9297864855952381e+14 5.2431748217811281e-03 6.0868587359901083e+00
1.9323357411904762e+14 5.2105848122236528e-03 6.0676915074154554e+00
1.9348849967857144e+14 5.4517327495071394e-03 6.0472103380269244e+00
1.9359660086208747e+14 5.6322751843974018e-03 6.0439297256927027e+00
1.9363532405457916e+14 5.7072036500549527e-03 6.0439297256927027e+00
1.9374342523809522e+14 5.9424774408995441e-03 6.0476120882802595e+00
1.9399835079761903e+14 6.6239387976273637e-03 6.0790764178211854e+00
1.9425327635714284e+14 7.4280066518827093e-03 6.1408725449001142e+00
1.9450820191666666e+14 8.2924607259563798e-03 6.2273756146437291e+00
1.9476312747619047e+14 9.1646212999737763e-03 6.3322621888029440e+00
1.9501805303571428e+14 1.0000154518338683e-02 6.4500951710495578e+00
1.9527297859523809e+14 1.0761243993361199e-02 6.5765515469234970e+00
1.9552790415476191e+14 1.1415513835478123e-02 6.7081941863941692e+00
1.9578282971428572e+14 1.1935888153017656e-02 6.8421601984374405e+00
1.9603775527380953e+14 1.2301262620165338e-02 6.9758750967305065e+00
1.9629268083333331e+14 1.2497851133813685e-02 7.1068076417282393e+00
1.9654760639285712e+14 1.2521128396620116e-02 7.2322569861308157e+00
1.9680253195238094e+14 1.2378346853829792e-02 7.3491709685126079e+00
1.9705745751190475e+14 1.2091616509670446e-02 7.4540261351519481e+00
1.9731238307142856e+14 1.1701390317054174e-02 7.5428700824658605e+00
1.9756730863095238e+14 1.1269636734350726e-02 7.6117516384901958e+00
1.9782223419047619e+14 1.0880578110934392e-02 7.6578979366244972e+00
1.9807715975000000e+14 1.0634584852206339e-02 7.6818563577977308e+00
1.9833208530952381e+14 1.0629933807855643e-02 7.6898297801493225e+00
1.9858701086904762e+14 1.0933486031271271e-02 7.6938213459542375e+00
1.9884193642857141e+14 1.1555328908345659e-02 7.7077475800985678e+00
1.9909686198809522e+14 1.2446159118968399e-02 7.7419363534433705e+00
1.9935178754761903e+14 1.3517279998989523e-02 7.8005532249465270e+00
1.9960671310714284e+14 1.4665770683786907e-02 7.8827877878366195e+00
1.9986163866666666e+14 1.5791780612612508e-02 7.9853184083759441e+00
("in","mode 1",1,"out 1",1,"transmission",1.8411162096687616e-13)
(52, 3)
1.8737028625000000e+14 5.0703026156103936e-01 -1.2224441443399847e+00
1.8762521180952381e+14 5.1068546057817221e-01 -1.2462169314372302e+00
1.8788013736904762e+14 5.1430102528061372e-01 -1.2690072562317471e+00
1.8813506292857144e+14 5.1788592047498527e-01 -1.2908109484219390e+00
1.8838998848809525e+14 5.2144704941123954e-01 -1.3116171585380842e+00
1.8864491404761903e+14 5.2498810131868634e-01 -1.3314125406699671e+00
1.8889983960714284e+14 5.2850974181786403e-01 -1.3501853795192977e+00
1.8915476516666666e+14 5.3201082044979497e-01 -1.3679281990107974e+00
1.8940969072619047e+14 5.3548989367463073e-01 -1.3846382104658812e+00
1.8966461628571428e+14 5.3894632778622831e-01 -1.4003159672594432e+00
1.8991954184523809e+14 5.4238054763751575e-01 -1.4149633226843981e+00
1.9017446740476191e+14 5.4579347056184335e-01 -1.4285819250442484e+00
1.9042939296428572e+14 5.4918557162127868e-01 -1.4411730133829315e+00
1.9068431852380953e+14 5.5255617117913047e-01 -1.4527384776040260e+00
1.9093924408333334e+14 5.5590336310454658e-01 -1.4632824416450050e+00
1.9119416964285712e+14 5.5922461851444771e-01 -1.4728123696808029e+00
1.9144909520238094e+14 5.6251771588572308e-01 -1.4813389906258261e+00
1.9170402076190475e+14 5.6578146740931623e-01 -1.4888750042638361e+00
1.9195894632142856e+14 5.6901582660227756e-01 -1.4954332045714520e+00
1.9221387188095238e+14 5.7222130818084849e-01 -1.5010249705896304e+00
1.9246879744047619e+14 5.7539803913738996e-01 -1.5056598663875924e+00
1.9272372300000000e+14 5.7854497746615974e-01 -1.5093464739137299e+00
